year,rank,city,med_park_size_data,med_park_size_points,park_pct_city_data,park_pct_city_points,pct_near_park_data,pct_near_park_points,spend_per_resident_data,spend_per_resident_points,basketball_data,basketball_points,dogpark_data,dogpark_points,playground_data,playground_points,rec_sr_data,rec_sr_points,restroom_data,restroom_points,splashground_data,splashground_points,amenities_points,total_points,total_pct,city_dup,park_benches,lat,lon,state,county
2020,23,Long Beach,3.2,14.0,10.0,25.0,84.0,76.0,180.0,100.0,1.6,13.0,2.1,85.0,1.4,10.0,1.3,88.0,3.7,100.0,0.2,4.0,50.0,265.0,66.3,Long Beach,,33.7690164,-118.191604,California,Long Beach
2020,24,Aurora,8.0,37.0,11.0,27.0,88.0,82.0,149.0,84.0,1.6,13.0,1.1,37.0,2.2,28.0,0.2,11.0,1.7,51.0,1.3,48.0,31.3,261.0,65.3,Aurora,,41.7571701,-88.3147539,Illinois,Kane County
2020,25,Lincoln,6.4,30.0,7.0,16.0,92.0,88.0,108.0,58.0,8.7,100.0,1.4,52.0,4.6,85.0,0.6,39.0,4.0,100.0,0.7,23.0,66.5,259.0,64.6,Lincoln,,40.8088861,-96.7077751,Nebraska,Lancaster County
2020,26,Virginia Beach,5.2,24.0,18.0,46.0,68.0,51.0,185.0,100.0,3.3,44.0,0.7,18.0,4.1,74.0,0.3,17.0,2.1,65.0,0.2,5.0,37.2,258.0,64.5,Virginia Beach,,36.8529841,-75.9774183,Virginia,Virginia Beach
2020,27,Henderson,5.8,26.0,13.0,34.0,60.0,38.0,141.0,78.0,8.2,100.0,5.2,100.0,2.9,45.0,0.5,32.0,4.7,100.0,5.5,100.0,79.5,256.0,63.9,Henderson,,32.182598,-95.7893178,Texas,Henderson County
2020,28,Milwaukee,4.6,21.0,9.0,23.0,90.0,86.0,112.0,61.0,5.7,89.0,0.5,11.0,3.9,68.0,0.9,61.0,5.0,100.0,1.5,56.0,64.2,255.0,63.8,Milwaukee,,43.0349931,-87.922497,Wisconsin,Milwaukee County
2020,29,Cleveland,3.9,17.0,7.0,15.0,83.0,75.0,137.0,76.0,6.1,96.0,0.8,24.0,3.7,64.0,1.2,79.0,1.0,29.0,10.6,100.0,65.3,248.0,62.1,Cleveland,,41.4996574,-81.6936772,Ohio,Cuyahoga County
2020,30,Sacramento,5.4,25.0,9.0,21.0,83.0,75.0,122.0,67.0,1.6,12.0,3.0,100.0,4.2,75.0,0.6,41.0,1.1,33.0,4.5,100.0,60.2,248.0,62.0,Sacramento,,38.5810606,-121.493895,California,Sacramento County
2020,31,Raleigh,6.7,31.0,13.0,33.0,58.0,36.0,157.0,88.0,5.2,80.0,1.3,47.0,2.2,29.0,1.6,100.0,2.1,63.0,1.1,38.0,59.5,248.0,61.9,Raleigh,,35.7803977,-78.6390989,North Carolina,Wake County
2020,32,Kansas City,11.7,50.0,9.0,22.0,70.0,54.0,132.0,73.0,2.7,32.0,0.8,24.0,4.4,81.0,0.4,25.0,0.8,23.0,3.0,100.0,47.5,247.0,61.6,Kansas City,,39.100105,-94.5781416,Missouri,Jackson County
2020,33,Fremont,6.4,30.0,49.0,50.0,70.0,54.0,114.0,62.0,2.1,21.0,2.2,89.0,2.2,29.0,0.5,32.0,4.2,100.0,0.4,13.0,47.3,243.0,60.8,Fremont,,37.5482697,-121.988571,California,Alameda County
